Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Drissa Camara\Drissa-Camara,ci CIV,MF,Parma,it Serie A,18,2002,0.2,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,0,0,0,0,0,0,0,0
Mahdi Camara\Mahdi-Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,22,1998,36.6,109,71,50,51,8,23,55,41.8,32,690,201,29.1,208,371,111,68,13,0,55,57,166,72,1
Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,17,2002,26.7,111,70,46,51,14,20,64,31.3,44,628,180,28.7,178,330,120,38,3,0,35,20,131,20,0
José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,27,1993,8.3,12,8,4,4,4,4,11,36.4,7,114,31,27.2,33,54,27,10,0,0,10,8,20,5,0
Emre Can\Emre-Can,de GER,DFMF,Dortmund,de Bundesliga,26,1994,23.7,55,42,25,21,9,18,40,45.0,22,303,118,38.9,129,138,36,41,12,0,29,40,95,72,0
Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,29,1991,27.8,17,11,5,10,2,3,26,11.5,23,289,94,32.5,83,141,65,26,0,0,26,14,31,12,0
João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,eng Premier League,26,1994,25.5,77,44,41,26,10,41,89,46.1,48,338,121,35.8,137,125,76,38,3,0,35,53,130,36,1
Antonio Candreva\Antonio-Candreva,it ITA,MF,Sampdoria,it Serie A,33,1987,27.8,25,14,14,9,2,18,48,37.5,30,283,74,26.1,103,108,72,39,3,0,36,25,50,22,0
Álex Cantero\Alex-Cantero,es ESP,FW,Levante,es La Liga,20,2000,2.6,,1,,,,,,,,,,,,,,,,,,0,,,
Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,28,1992,23.7,42,23,22,17,3,15,44,34.1,29,304,93,30.6,128,117,59,51,8,0,43,30,72,55,0
Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,33,1987,22.8,57,32,24,22,11,23,80,28.8,57,486,134,27.6,154,232,100,32,1,0,31,39,96,39,0
Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,es La Liga,32,1988,13.2,20,14,14,4,2,7,24,29.2,17,224,59,26.3,105,104,15,16,2,0,14,21,41,39,0
Elio Capradossi\Elio-Capradossi,it ITA,DF,Spezia,it Serie A,24,1996,1.0,3,1,2,1,0,0,0,,0,17,3,17.6,12,4,1,0,0,0,0,4,7,8,0
Gianluca Caprari\Gianluca-Caprari,it ITA,MFFW,Benevento,it Serie A,27,1993,20.7,20,16,7,7,6,3,25,12.0,22,251,70,27.9,38,129,84,26,1,0,25,30,50,7,0
Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,it Serie A,32,1987,18.9,1,1,0,1,0,0,3,0.0,3,128,39,30.5,2,47,79,9,3,0,6,4,5,2,0
Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,Lyon,fr Ligue 1,20,2000,19.6,83,59,22,45,16,27,95,28.4,68,558,162,29.0,129,303,126,43,3,0,40,30,113,11,0
Andrea Carboni\Andrea-Carboni,it ITA,DF,Cagliari,it Serie A,19,2001,12.1,29,10,20,9,0,9,21,42.9,12,225,63,28.0,138,76,11,27,4,0,23,12,41,55,0
Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,es La Liga,27,1993,28.7,71,44,39,25,7,30,64,46.9,34,387,124,32.0,218,130,39,82,14,0,68,50,121,90,0
Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,23,1997,8.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0
Irvin Cardona\Irvin-Cardona,fr FRA,FWMF,Brest,fr Ligue 1,22,1997,22.5,9,4,5,2,2,4,25,16.0,21,315,94,29.8,35,153,127,18,5,0,13,9,18,26,1
Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,es La Liga,25,1995,0.6,0,0,0,0,0,0,1,0.0,1,9,2,22.2,1,4,4,1,0,0,1,0,0,0,0
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,eng Premier League,20,2000,3.9,9,7,6,1,2,6,12,50.0,6,78,21,26.9,28,29,21,4,1,0,3,2,11,0,0
Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,27,1993,31.0,28,20,21,7,0,10,20,50.0,10,204,72,35.3,113,82,9,47,27,1,20,26,54,142,1
Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,es La Liga,29,1991,3.2,5,3,3,2,0,0,10,0.0,10,98,23,23.5,17,53,28,7,0,0,7,3,8,2,0
Lionel Carole\Lionel-Carole,fr FRA,DF,Strasbourg,fr Ligue 1,29,1991,14.9,42,26,25,13,4,17,33,51.5,16,179,61,34.1,86,68,25,19,2,0,17,32,74,48,0
Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,26,1993,24.2,35,23,17,11,7,17,46,37.0,29,341,98,28.7,117,115,109,45,0,0,45,28,63,15,1
Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,es La Liga,19,2000,2.9,5,2,2,3,0,3,4,75.0,1,39,15,38.5,17,19,3,7,0,0,7,1,6,6,0
Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,es La Liga,29,1991,11.1,11,9,2,8,1,2,8,25.0,6,173,43,24.9,14,98,61,6,1,0,5,7,18,13,0
Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,31,1989,4.4,2,1,1,0,1,0,6,0.0,6,60,14,23.3,7,31,22,2,0,0,2,1,3,11,0
Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,28,1992,10.6,32,21,14,14,4,17,25,68.0,8,147,57,38.8,59,55,33,31,1,0,30,16,48,17,1
Fabio Carvalho\Fabio-Carvalho,eng ENG,MFFW,Fulham,eng Premier League,17,2002,2.8,8,5,3,4,1,4,8,50.0,4,109,24,22.0,13,48,48,6,0,0,6,4,12,0,0
William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,28,1992,13.6,28,19,10,16,2,5,17,29.4,12,177,51,28.8,51,104,22,13,4,0,9,8,36,24,1
Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,28,1992,32.2,89,56,49,35,5,29,74,39.2,45,510,185,36.3,224,228,58,69,18,0,51,61,150,96,0
Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,eng Premier League,22,1997,26.4,78,44,41,29,8,34,76,44.7,42,446,127,28.5,232,168,46,77,15,0,62,49,127,110,2
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0
Giuseppe Caso\Giuseppe-Caso,it ITA,MF,Genoa,it Serie A,21,1998,0.6,0,0,0,0,0,0,1,0.0,1,10,4,40.0,2,6,2,1,0,0,1,2,2,1,0
Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,22,1998,22.6,50,37,22,26,2,16,41,39.0,25,308,104,33.8,121,154,33,27,10,1,17,40,90,26,1
Francesco Cassata\Francesco-Cassata,it ITA,DF,Genoa,it Serie A,23,1997,2.3,8,6,8,0,0,2,8,25.0,6,64,15,23.4,30,26,8,1,0,0,1,4,12,2,0
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,eng Premier League,24,1995,26.1,59,34,31,22,6,20,44,45.5,24,351,100,28.5,146,130,75,53,5,0,48,23,82,67,1
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,2,1,0,1,0,0,1,0,0,3,2
Jean-Charles Castelletto\Jean-Charles-Castelletto,cm CMR,DF,Nantes,fr Ligue 1,25,1995,21.6,34,14,21,11,2,19,34,55.9,15,173,58,33.5,109,59,5,36,20,1,16,29,63,134,0
Samu Castillejo\Samu-Castillejo,es ESP,FW,Milan,it Serie A,25,1995,13.1,28,17,12,13,3,17,41,41.5,24,328,82,25.0,65,163,100,18,0,0,18,13,41,9,0
Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,de Bundesliga,33,1987,19.2,14,11,3,9,2,4,25,16.0,21,239,81,33.9,43,114,82,26,5,0,21,10,24,14,0
Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,26,1994,5.5,9,6,5,2,2,5,18,27.8,13,99,25,25.3,37,43,19,10,3,0,7,7,16,8,0
Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,23,1997,25.9,44,29,24,11,9,13,39,33.3,26,509,168,33.0,192,205,112,37,4,0,33,31,75,23,0
Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,25,1994,6.3,9,7,2,5,2,2,21,9.5,19,124,34,27.4,34,65,25,5,1,0,4,9,18,4,0
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,eng Premier League,26,1993,27.5,28,21,13,10,5,4,22,18.2,18,444,131,29.5,82,182,180,38,1,0,37,18,46,22,1
Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,eng Premier League,33,1987,15.3,15,11,1,8,6,3,12,25.0,9,210,59,28.1,16,76,118,6,1,0,5,10,25,11,0
Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,eng Premier League,23,1996,17.9,40,33,19,12,9,13,49,26.5,36,281,75,26.7,121,100,60,29,7,1,22,24,64,21,0
Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Hellas Verona,it Serie A,28,1992,19.3,25,14,18,7,0,3,11,27.3,8,239,69,28.9,104,119,16,23,6,0,17,33,58,94,0
Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,28,1992,3.0,5,2,2,3,0,2,3,66.7,1,39,12,30.8,25,13,1,8,5,0,3,3,8,17,0
Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,23,1997,26.5,80,37,33,36,11,35,74,47.3,39,439,138,31.4,164,213,62,63,8,0,55,33,113,70,0
Bersant Celina\Bersant-Celina,xk KVX,MFFW,Dijon,fr Ligue 1,23,1996,25.5,27,11,7,15,5,7,36,19.4,29,395,109,27.6,101,211,83,26,3,0,23,15,42,11,0
Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,24,1996,35.8,108,55,66,31,11,29,58,50.0,29,485,161,33.2,225,185,75,86,15,0,71,66,174,174,1
Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,30,1989,16.3,27,17,15,10,2,9,21,42.9,12,142,48,33.8,81,52,9,29,14,0,15,23,50,80,1
Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,24,1996,4.1,7,5,0,6,1,1,5,20.0,4,52,13,25.0,4,21,27,7,4,0,3,3,10,6,0
Sava Cestic\Sava-Cestic,rs SRB,DF,Köln,de Bundesliga,19,2001,10.0,21,14,16,4,1,7,19,36.8,12,111,36,32.4,83,25,3,20,6,0,14,29,50,54,0
Julian Chabot\Julian-Chabot,de GER,DF,Spezia,it Serie A,22,1998,18.4,52,36,28,22,2,17,34,50.0,17,234,94,40.2,128,100,6,33,12,1,21,24,76,99,1
Nassim Chadli\Nassim-Chadli,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,0.3,1,0,1,0,0,0,1,0.0,1,15,2,13.3,4,6,5,3,0,0,3,1,2,0,0
Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,33,1986,18.0,39,28,27,9,3,14,36,38.9,22,205,66,32.2,108,78,19,33,9,2,24,20,59,56,0
Mehdi Chahiri\Mehdi-Chahiri,ma MAR,FWMF,Strasbourg,fr Ligue 1,24,1996,8.9,18,13,6,8,4,5,21,23.8,16,145,51,35.2,43,45,57,12,0,0,12,12,30,2,0
Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,26,1993,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0
Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,es La Liga,26,1993,10.0,13,7,10,2,1,3,5,60.0,2,76,25,32.9,46,29,1,6,3,0,3,13,26,96,0
Aníbal Chalá\Anibal-Chala,ec ECU,DF,Dijon,fr Ligue 1,24,1996,8.3,17,7,10,4,3,4,13,30.8,9,122,24,19.7,52,57,13,11,2,0,9,16,33,22,0
Trevoh Chalobah\Trevoh-Chalobah,eng ENG,DFMF,Lorient,fr Ligue 1,21,1999,24.9,50,28,31,18,1,17,35,48.6,18,229,80,34.9,106,103,20,28,8,0,20,63,113,93,0
Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,25,1995,8.4,9,3,4,3,2,3,10,30.0,7,95,28,29.5,50,30,15,16,3,0,13,14,23,45,0
Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,30,1990,4.8,3,1,1,1,1,1,5,20.0,4,48,8,16.7,16,17,15,7,2,0,5,2,5,6,0
Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,26,1994,2.4,5,2,1,2,2,1,3,33.3,2,69,15,21.7,12,34,23,4,1,0,3,5,10,2,0
Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,MFFW,Brest,fr Ligue 1,31,1988,17.4,26,18,8,11,7,9,30,30.0,21,307,77,25.1,59,133,115,20,1,0,19,10,36,23,0
Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,25,1994,30.2,57,33,40,15,2,31,45,68.9,14,243,90,37.0,147,84,12,67,41,1,26,46,103,224,2
Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,29,1991,28.3,112,64,53,43,16,14,70,20.0,56,621,177,28.5,247,274,100,44,9,0,35,36,148,31,1
Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Dijon,fr Ligue 1,22,1997,12.1,18,17,12,5,1,7,30,23.3,23,215,63,29.3,73,109,33,18,3,0,15,6,24,11,0
Chema\Chema,es ESP,DFMF,Getafe,es La Liga,28,1992,6.2,11,4,8,3,0,4,9,44.4,5,69,18,26.1,27,35,7,4,1,0,3,7,18,35,0
Rayan Cherki\Rayan-Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,16,2003,7.8,8,5,1,3,4,2,12,16.7,10,104,37,35.6,11,49,44,4,0,0,4,4,12,0,0
Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,es La Liga,29,1990,12.2,23,17,6,9,8,5,25,20.0,20,234,51,21.8,68,103,63,21,1,0,20,7,30,15,0
Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,35,1984,15.4,17,12,14,3,0,5,14,35.7,9,114,49,43.0,75,36,3,27,16,0,11,21,38,65,1
Federico Chiesa\Federico-Chiesa,it ITA,DF,Fiorentina,it Serie A,22,1997,2.7,4,2,1,2,1,1,5,20.0,4,44,8,18.2,13,19,12,3,1,0,2,1,5,2,0
Federico Chiesa\Federico-Chiesa,it ITA,MFDF,Juventus,it Serie A,22,1997,24.6,58,40,24,20,14,22,50,44.0,28,397,131,33.0,137,147,113,27,1,0,26,11,69,21,0
Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,eng Premier League,23,1996,25.4,46,29,19,20,7,16,37,43.2,21,323,102,31.6,133,131,59,65,3,0,62,29,75,66,0
Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,30,1989,20.4,40,20,36,3,1,11,24,45.8,13,234,74,31.6,137,89,8,45,19,0,26,34,74,76,0
Pedro Chirivella\Pedro-Chirivella,es ESP,MF,Nantes,fr Ligue 1,23,1997,25.3,39,19,12,19,8,7,54,13.0,47,424,127,30.0,111,235,78,34,5,0,29,38,77,23,0
Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,de Bundesliga,20,1999,4.3,12,8,3,7,2,4,8,50.0,4,96,32,33.3,14,60,22,3,0,0,3,3,15,2,0
Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,18,2001,12.9,22,17,7,13,2,9,32,28.1,23,185,50,27.0,60,96,29,12,3,0,9,17,39,21,0
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,22,1997,3.5,11,7,5,6,0,2,10,20.0,8,53,18,34.0,18,31,4,9,2,0,7,5,16,6,1
Mounir Chouiar\Mounir-Chouiar,fr FRA,FWMF,Dijon,fr Ligue 1,21,1999,14.3,22,15,12,6,4,8,22,36.4,14,196,62,31.6,54,87,55,22,0,0,22,9,31,6,0
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,24,1996,15.2,20,12,14,4,2,5,11,45.5,6,103,38,36.9,56,38,9,26,15,0,11,26,46,80,1
Carney Chukwuemeka\Carney-Chukwuemeka,eng ENG,FWMF,Aston Villa,eng Premier League,16,2004,0.2,2,2,1,0,1,1,3,33.3,2,14,3,21.4,6,4,4,1,0,0,1,0,2,0,0
Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,21,1999,15.2,16,9,3,9,4,5,19,26.3,14,183,47,25.7,41,70,72,13,0,0,13,7,23,8,0
Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,de Bundesliga,20,2000,2.4,3,1,1,1,1,0,3,0.0,3,37,15,40.5,10,9,18,9,1,0,8,1,4,4,0
Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,es La Liga,20,2000,1.1,3,1,1,2,0,0,2,0.0,2,9,3,33.3,5,4,0,3,3,0,0,1,4,11,0
Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1
Cifu\Cifu,es ESP,DF,Elche,es La Liga,29,1990,5.0,9,6,5,4,0,4,10,40.0,6,83,22,26.5,58,23,2,8,1,0,7,3,12,15,1
Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Luca Cigarini\Luca-Cigarini,it ITA,MF,Crotone,it Serie A,34,1986,10.3,25,17,9,14,2,12,34,35.3,22,168,53,31.5,62,85,21,16,1,0,15,10,35,8,1
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0
Antonio Cioffi\Antonio-Cioffi,it ITA,FW,Napoli,it Serie A,17,2002,0.1,0,0,0,0,0,0,0,,0,4,2,50.0,1,3,0,2,0,0,2,1,1,0,0
Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,de Bundesliga,18,2002,0.4,0,0,0,0,0,0,1,0.0,1,6,2,33.3,3,3,0,1,0,0,1,1,1,1,0
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,30,1989,21.0,27,14,18,7,2,3,10,30.0,7,156,49,31.4,102,42,12,45,20,0,25,26,53,134,3
Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,22,1998,21.2,36,25,16,14,6,18,49,36.7,31,362,97,26.8,84,164,114,16,2,0,14,13,49,11,0
Jonathan Clauss\Jonathan-Clauss,fr FRA,DF,Lens,fr Ligue 1,27,1992,28.0,54,27,16,25,13,18,51,35.3,33,342,103,30.1,122,133,87,55,1,0,54,43,97,56,0
Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,es La Liga,28,1992,30.9,66,47,37,22,7,23,50,46.0,27,425,151,35.5,187,168,70,53,4,0,49,35,101,94,1
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,eng Premier League,29,1991,12.7,21,9,14,7,0,9,16,56.3,7,117,31,26.5,73,29,15,25,2,0,23,13,34,32,0
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,27,1993,36.7,31,23,23,8,0,14,37,37.8,23,203,71,35.0,149,52,2,59,39,2,20,25,56,163,1
Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,fr Ligue 1,24,1996,16.4,41,30,17,14,10,13,31,41.9,18,320,87,27.2,89,155,76,19,2,0,17,15,56,15,0
Coke\Coke,es ESP,DF,Levante,es La Liga,33,1987,9.3,21,11,12,6,3,10,25,40.0,15,130,32,24.6,71,39,20,17,0,0,17,15,36,36,0
Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,eng Premier League,31,1988,17.9,39,26,25,9,5,17,40,42.5,23,242,73,30.2,134,72,36,39,9,0,30,22,61,38,1
Ebrima Colley\Ebrima-Colley,gm GAM,FWMF,Hellas Verona,it Serie A,20,2000,8.2,8,5,0,8,0,4,12,33.3,8,133,39,29.3,27,53,53,9,0,0,9,2,10,1,0
Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,27,1992,28.8,40,24,26,12,2,10,21,47.6,11,245,88,35.9,149,88,8,47,30,2,17,52,92,177,2
Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29,1991,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,18,2002,1.0,2,2,1,1,0,0,2,0.0,2,32,6,18.8,5,20,7,0,0,0,0,1,3,2,0
Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,24,1995,0.2,1,1,1,0,0,0,1,0.0,1,4,3,75.0,2,2,0,0,0,0,0,0,1,0,0
Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24,1996,19.5,20,12,9,9,2,8,27,29.6,19,320,102,31.9,56,133,131,24,0,0,24,12,32,5,0
Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,36.6,58,36,48,10,0,32,68,47.1,36,329,131,39.8,209,106,14,67,35,0,32,45,103,189,3
Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,20,2000,8.8,7,5,2,4,1,1,5,20.0,4,124,40,32.3,7,58,59,9,1,0,8,0,7,1,0
Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37.0,0,0,0,0,0,0,1,0.0,1,9,1,11.1,9,0,0,0,0,0,0,0,0,2,0
Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,26,1994,0.3,1,1,1,0,0,0,0,,0,8,4,50.0,5,2,1,1,0,0,1,1,2,1,0
Andrea Conti\Andrea-Conti,it ITA,DF,Parma,it Serie A,26,1994,9.0,30,18,20,8,2,10,30,33.3,20,128,37,28.9,70,43,15,17,4,0,13,24,54,18,0
Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,eng Premier League,28,1991,24.3,76,47,48,27,1,34,58,58.6,24,291,115,39.5,181,102,8,45,31,0,14,53,129,123,1
Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,es La Liga,29,1991,8.2,21,9,3,15,3,5,11,45.5,6,127,38,29.9,37,73,17,12,2,0,10,17,38,12,0
Theo Corbeanu\Theo-Corbeanu,ca CAN,FW,Wolves,eng Premier League,18,2002,0.1,1,0,0,1,0,0,1,0.0,1,4,1,25.0,1,2,1,0,0,0,0,1,2,0,0
Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,fr Ligue 1,29,1990,23.0,53,25,28,15,10,22,50,44.0,28,287,95,33.1,112,125,50,47,10,0,37,26,79,72,0
Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,2,2
Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,es La Liga,23,1997,1.1,0,0,0,0,0,0,4,0.0,4,23,7,30.4,6,7,10,3,0,0,3,1,1,1,0
Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,es La Liga,23,1997,2.4,7,5,3,2,2,2,10,20.0,8,85,17,20.0,27,39,19,8,0,0,8,4,11,1,0
Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,de Bundesliga,27,1993,17.1,11,4,1,5,5,2,9,22.2,7,266,78,29.3,20,128,118,16,2,0,14,9,20,4,0
Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,de Bundesliga,22,1997,12.1,16,11,1,9,6,3,14,21.4,11,269,57,21.2,21,150,98,14,2,0,12,6,22,14,0
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,31,1989,15.0,25,16,6,15,4,9,27,33.3,18,234,71,30.3,58,121,55,20,6,0,14,15,40,24,0
Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,27,1993,21.1,9,5,1,3,5,2,12,16.7,10,274,66,24.1,22,101,151,11,3,0,8,1,10,29,1
Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,23,1996,27.2,80,46,46,24,10,29,58,50.0,29,301,97,32.2,152,101,48,43,3,0,40,44,124,85,2
Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,25,1995,26.6,37,30,12,18,7,14,51,27.5,37,502,147,29.3,87,232,183,31,2,0,29,21,58,16,0
Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,25,1994,21.5,17,10,4,9,4,6,25,24.0,19,339,108,31.9,37,155,147,13,0,0,13,9,26,7,0
Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,27,1992,12.6,23,17,14,6,3,9,14,64.3,5,134,45,33.6,59,50,25,24,1,0,23,24,47,58,0
Félix Correia\Felix-Correia,pt POR,MF,Juventus,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,7,0,0.0,2,3,2,0,0,0,0,0,0,0,0
Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,21,1999,23.7,59,34,43,11,5,25,45,55.6,20,355,95,26.8,197,109,49,42,5,0,37,36,95,86,1
Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,36,1983,6.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,1
Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,de Bundesliga,27,1993,13.4,25,10,11,7,7,10,26,38.5,16,187,48,25.7,81,66,40,17,2,0,15,22,47,39,0
Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27,1993,1.2,2,2,2,0,0,0,1,0.0,1,25,6,24.0,9,12,4,4,1,0,3,0,2,4,0
